item_id,shop_id,drink_name,drink_category,flavor,available_hot,available_iced,size,min_price,max_price,price_is_starting,milk_options,matcha_type_claim,menu_source,menu_url,date_collected,extraction_evidence,review_status
SEA008-AI-001,SEA008,Classic Matcha Latte,Matcha Latte,Original,,True,16 oz,8.0,8.0,False,Oat; Almond; Corn,Ceremonial; Kanayamidori; Yabukita,Official Website,https://www.minasmatcha.com/s/Minas_Matcha_Menu.pdf,2026-08-29,"Classic Matcha Latte - $8.00
matcha, organic agave, milk",Reviewed
SEA008-AI-002,SEA008,Double Matcha Latte,Matcha Latte,Original,,True,16 oz,9.0,9.0,False,Oat; Almond; Corn,Ceremonial; Kanayamidori; Yabukita,Official Website,https://www.minasmatcha.com/s/Minas_Matcha_Menu.pdf,2026-08-29,"Double Matcha Latte - $9.00
matcha, organic agave, milk, matcha cream top",Reviewed
SEA008-AI-003,SEA008,Vanilla Matcha Latte,Matcha Latte,Vanilla,,True,16 oz,8.5,8.5,False,Oat; Almond; Corn,Ceremonial; Kanayamidori; Yabukita,Official Website,https://www.minasmatcha.com/s/Minas_Matcha_Menu.pdf,2026-08-29,"Vanilla Matcha Latte - $8.50
matcha, vanilla syrup, milk",Reviewed
SEA008-AI-004,SEA008,Lavender Matcha Latte,Matcha Latte,Lavender,,True,16 oz,8.5,8.5,False,Oat; Almond; Corn,Ceremonial; Kanayamidori; Yabukita,Official Website,https://www.minasmatcha.com/s/Minas_Matcha_Menu.pdf,2026-08-29,"Lavender Matcha Latte - $8.50
matcha, lavender syrup, milk",Reviewed
SEA008-AI-005,SEA008,Earl Grey Matcha Latte,Matcha Latte,Earl Grey,,True,16 oz,8.95,8.95,False,Oat; Almond; Corn,Ceremonial; Kanayamidori; Yabukita,Official Website,https://www.minasmatcha.com/s/Minas_Matcha_Menu.pdf,2026-08-29,"Earl Grey Matcha Latte - $8.95
matcha, house made earl grey syrup, milk",Reviewed
SEA008-AI-006,SEA008,Strawberry Matcha Latte,Matcha Latte,Strawberry,,True,16 oz,8.95,8.95,False,Oat; Almond; Corn,Ceremonial; Kanayamidori; Yabukita,Official Website,https://www.minasmatcha.com/s/Minas_Matcha_Menu.pdf,2026-08-29,"Strawberry Matcha Latte - $8.95
matcha, house made strawberry puree, milk, strawberry cream top",Reviewed
SEA008-AI-007,SEA008,Ube Matcha Latte,Matcha Latte,Ube,,True,16 oz,8.95,8.95,False,Oat; Almond; Corn,Ceremonial; Kanayamidori; Yabukita,Official Website,https://www.minasmatcha.com/s/Minas_Matcha_Menu.pdf,2026-08-29,"Ube Matcha Latte - $8.95
matcha, organic agave, milk, ube cream top",Reviewed
SEA008-AI-008,SEA008,Brown Sugar Matcha Latte,Matcha Latte,Brown Sugar,,True,16 oz,8.95,8.95,False,Oat; Almond; Corn,Ceremonial; Kanayamidori; Yabukita,Official Website,https://www.minasmatcha.com/s/Minas_Matcha_Menu.pdf,2026-08-29,"Brown Sugar Matcha Latte - $8.95
matcha, house made brown sugar syrup, milk",Reviewed
SEA008-AI-009,SEA008,Banana Pudding Matcha Latte,Matcha Latte,Banana Pudding,,True,16 oz,11.5,11.5,False,Oat; Almond; Corn,Ceremonial; Kanayamidori; Yabukita,Official Website,https://www.minasmatcha.com/s/Minas_Matcha_Menu.pdf,2026-08-29,"Banana Pudding Matcha Latte - $11.50
matcha, milk, vanilla syrup, banana pudding",Reviewed
SEA008-AI-010,SEA008,Apple Lime Matcha Refresher,Matcha Soda,Apple Lime,,True,16 oz,9.0,9.0,False,,Ceremonial; Kanayamidori; Yabukita,Official Website,https://www.minasmatcha.com/s/Minas_Matcha_Menu.pdf,2026-08-29,"Apple Lime Matcha Refresher - $9.00
matcha, sparkling apple juice, lime",Reviewed
