shop_id,shop_name,shop_type,city,neighborhood,menu_url,menu_source,menu_source_status,raw_text_status,ai_extraction_status,human_review_status,output_file,notes
SEA001,Matcha Magic SLU,Matcha / Tea Shop,Seattle,South Lake Union,https://www.itsmatchamagic.com/,Official Website,Verified,Full menu captured,Human-validated pilot,Reviewed,data/processed/menu_items_seattle_reviewed.csv,Three-item schema test only
SEA002,The Moo Bar,Boba / Bubble Tea Shop,Seattle,Downtown,https://themoobar.muncho.ai/post/detail?businessId=6330aa766d384e110d80979b&noBack=true&needShowSafariGuide=false,Official Website,Verified in pilot,Full menu captured,Human-validated pilot,Reviewed,data/processed/menu_items_seattle_reviewed.csv,Pilot menu source available; full menu text not prepared
SEA003,Hey Tea,Matcha / Tea Shop,Seattle,South Lake Union,https://apps.apple.com/us/app/heytea/id6468945008,Official App,Verified in pilot,Full menu captured,Human-validated pilot,Reviewed,data/processed/menu_items_seattle_reviewed.csv,Pilot menu source available; full menu text not prepared
SEA004,Matcha Man Ice Cream & Taiyaki,Bakery / Dessert Cafe,Seattle,Georgetown,https://order.toasttab.com/online/matcha-man-ice-cream-taiyaki-6014-12th-ave-s,Official Website,Verified,Full menu captured,Extracted,Reviewed,data/processed/ai_menu_extractions/sea004_menu_items.csv,Calibration completed
SEA005,Drip Drip coffeehouse,Cafe / Coffee Shop,Seattle,First Hill,https://drip-drip-coffeehouse-seattle.cloveronline.com/menu/all,Official Website,Verified,Full menu captured,Extracted,Reviewed,data/processed/ai_menu_extractions/sea005_menu_items.csv,Calibration completed
SEA006,Matcha Magic Capitol Hill,Matcha / Tea Shop,Seattle,Capitol Hill,https://www.itsmatchamagic.com/menus/,Official Website,Verified,Full menu captured,Extracted,Reviewed,data/processed/ai_menu_extractions/sea006_menu_items.csv,Brand-level menu extracted; all prices remain blank pending location verification
SEA007,Taz Matcha,Matcha / Tea Shop,Seattle,Downtown,https://tazseattle.com/cafe/,Official Website,Unavailable,Blocked,Not applicable,Reviewed limitation,,Official site confirms matcha but publishes no itemized menu or prices
SEA008,Mina’s Matcha,Matcha / Tea Shop,Seattle,University District,https://www.minasmatcha.com/s/Minas_Matcha_Menu.pdf,Official Website,Verified,Full menu captured,Extracted,Reviewed,data/processed/ai_menu_extractions/sea008_menu_items.csv,Calibration completed
SEA009,Grean Matcha,Matcha / Tea Shop,Seattle,University District,https://drive.google.com/file/d/1dTl33UzNkJu1AkJvIg0savaLMOimN9wB/view?usp=sharing,Official PDF,Verified,Full menu captured,Extracted,Reviewed,data/processed/ai_menu_extractions/sea009_menu_items.csv,Six reviewed matcha lattes; all are iced 12 oz with oat milk included
SEA010,Nana’s Green Tea,Matcha / Tea Shop,Seattle,Denny Triangle,https://order.toasttab.com/online/nanasgreentea,Official Order App,Verified,Full menu captured,Extracted,Reviewed,data/processed/ai_menu_extractions/sea010_menu_items.csv,Thirty-one reviewed matcha beverages and desserts from the Seattle Toast menu
SEA011,Chaco Coffee & Tea,Cafe / Coffee Shop,Seattle,Uptown,,,Unavailable,Blocked,Not applicable,Reviewed limitation,,Official site confirms matcha but publishes no itemized menu or prices
SEA012,Yoka Tea,Boba / Bubble Tea Shop,Seattle,Madrona,,,Not checked,Full menu captured,Extracted,Reviewed,data/processed/ai_menu_extractions/sea012_menu_items.csv,
SEA013,Junbi Matcha & Tea - Seattle,Matcha / Tea Shop,Seattle,Capitol Hill,,,Not checked,Full menu captured,Extracted,Reviewed,data/processed/ai_menu_extractions/sea013_menu_items.csv,
