item_id,shop_id,drink_name,drink_category,flavor,available_hot,available_iced,size,min_price,max_price,milk_options,matcha_type_claim,menu_source,menu_url,date_collected,price_is_starting,extraction_evidence,review_status,analytics_price,has_price,has_flavor,is_flavored,has_matcha_type_claim,milk_option_count,size_option_count
ITM001,SEA001,Ceremonial,Matcha,Original,True,True,12oz;16oz,7.0,8.0,,Ceremonial,Official Website,https://www.itsmatchamagic.com/online-ordering/south-lake-union/menu,2026-08-28,False,Human-validated pilot menu record,Reviewed,7.5,True,True,False,True,0,2
ITM002,SEA001,Matcha Latte,Matcha Latte,Original,True,True,12oz;16oz,7.0,8.0,Horchata; 2%; Oat; Almond; Coconut; Soy,Ceremonial,Official Website,https://www.itsmatchamagic.com/online-ordering/south-lake-union/menu,2026-08-28,False,Human-validated pilot menu record,Reviewed,7.5,True,True,False,True,6,2
ITM003,SEA001,Strawberry Matcha,Matcha Latte,Strawberry,False,True,16oz,9.0,9.0,Horchata; 2%; Oat; Almond; Coconut; Soy,Ceremonial,Official Website,https://www.itsmatchamagic.com/online-ordering/south-lake-union/menu,2026-08-28,False,Human-validated pilot menu record,Reviewed,9.0,True,True,True,True,6,1
ITM004,SEA001,Matcha Horchata,Matcha Latte,Horchata,True,True,12oz;16oz,8.5,9.5,Horchata,Ceremonial,Official Website,https://www.itsmatchamagic.com/online-ordering/south-lake-union/menu,2026-08-28,False,Human-validated pilot menu record,Reviewed,9.0,True,True,True,True,1,2
ITM005,SEA001,Banana Cream Matcha,Matcha Latte,Banana,False,True,16oz,9.5,9.5,Horchata; 2%; Oat; Almond; Coconut; Soy,Ceremonial,Official Website,https://www.itsmatchamagic.com/online-ordering/south-lake-union/menu,2026-08-28,False,Human-validated pilot menu record,Reviewed,9.5,True,True,True,True,6,1
ITM006,SEA001,Earl Grey Matcha,Matcha Latte,Earl Grey,False,True,16oz,8.5,8.5,Horchata; 2%; Oat; Almond; Coconut; Soy,Ceremonial,Official Website,https://www.itsmatchamagic.com/online-ordering/south-lake-union/menu,2026-08-28,False,Human-validated pilot menu record,Reviewed,8.5,True,True,True,True,6,1
ITM007,SEA001,Matcha Mallow,Matcha Latte,Marshmallow,True,True,12oz;16oz,7.5,8.5,Horchata; 2%; Oat; Almond; Coconut; Soy,Ceremonial,Official Website,https://www.itsmatchamagic.com/online-ordering/south-lake-union/menu,2026-08-28,False,Human-validated pilot menu record,Reviewed,8.0,True,True,True,True,6,2
ITM008,SEA001,Triple Matcha,Matcha Latte,Original,False,True,16oz,9.5,9.5,Horchata; 2%; Oat; Almond; Coconut; Soy,Ceremonial,Official Website,https://www.itsmatchamagic.com/online-ordering/south-lake-union/menu,2026-08-28,False,Human-validated pilot menu record,Reviewed,9.5,True,True,False,True,6,1
ITM009,SEA001,Purple Rain,Matcha Latte,Ube,False,True,16oz,10.0,10.0,Horchata; 2%; Oat; Almond; Coconut; Soy,Ceremonial,Official Website,https://www.itsmatchamagic.com/online-ordering/south-lake-union/menu,2026-08-28,False,Human-validated pilot menu record,Reviewed,10.0,True,True,True,True,6,1
ITM010,SEA001,Matcha Magic Latte,Matcha Latte,Original,True,True,12oz;16oz,8.5,9.5,Horchata; 2%; Oat; Almond; Coconut; Soy,Ceremonial,Official Website,https://www.itsmatchamagic.com/online-ordering/south-lake-union/menu,2026-08-28,False,Human-validated pilot menu record,Reviewed,9.0,True,True,False,True,6,2
