item_id,shop_id,drink_name,drink_category,flavor,available_hot,available_iced,size,min_price,max_price,milk_options,matcha_type_claim,menu_source,menu_url,date_collected,price_is_starting,extraction_evidence,review_status
ITM001,SEA001,Ceremonial,Matcha,Original,TRUE,TRUE,12oz;16oz,7.0,8.0,,Ceremonial,Official Website,https://www.itsmatchamagic.com/online-ordering/south-lake-union/menu,2026-08-28,False,Human-validated pilot menu record,Reviewed
ITM002,SEA001,Matcha Latte,Matcha Latte,Original,TRUE,TRUE,12oz;16oz,7.0,8.0,Horchata; 2%; Oat; Almond; Coconut; Soy,Ceremonial,Official Website,https://www.itsmatchamagic.com/online-ordering/south-lake-union/menu,2026-08-28,False,Human-validated pilot menu record,Reviewed
ITM003,SEA001,Strawberry Matcha,Matcha Latte,Strawberry,FALSE,TRUE,16oz,9.0,9.0,Horchata; 2%; Oat; Almond; Coconut; Soy,Ceremonial,Official Website,https://www.itsmatchamagic.com/online-ordering/south-lake-union/menu,2026-08-28,False,Human-validated pilot menu record,Reviewed
ITM004,SEA001,Matcha Horchata,Matcha Latte,Horchata,TRUE,TRUE,12oz;16oz,8.5,9.5,Horchata,Ceremonial,Official Website,https://www.itsmatchamagic.com/online-ordering/south-lake-union/menu,2026-08-28,False,Human-validated pilot menu record,Reviewed
ITM005,SEA001,Banana Cream Matcha,Matcha Latte,Banana,FALSE,TRUE,16oz,9.5,9.5,Horchata; 2%; Oat; Almond; Coconut; Soy,Ceremonial,Official Website,https://www.itsmatchamagic.com/online-ordering/south-lake-union/menu,2026-08-28,False,Human-validated pilot menu record,Reviewed
ITM006,SEA001,Earl Grey Matcha,Matcha Latte,Earl Grey,FALSE,TRUE,16oz,8.5,8.5,Horchata; 2%; Oat; Almond; Coconut; Soy,Ceremonial,Official Website,https://www.itsmatchamagic.com/online-ordering/south-lake-union/menu,2026-08-28,False,Human-validated pilot menu record,Reviewed
ITM007,SEA001,Matcha Mallow,Matcha Latte,Marshmallow,TRUE,TRUE,12oz;16oz,7.5,8.5,Horchata; 2%; Oat; Almond; Coconut; Soy,Ceremonial,Official Website,https://www.itsmatchamagic.com/online-ordering/south-lake-union/menu,2026-08-28,False,Human-validated pilot menu record,Reviewed
ITM008,SEA001,Triple Matcha,Matcha Latte,Original,FALSE,TRUE,16oz,9.5,9.5,Horchata; 2%; Oat; Almond; Coconut; Soy,Ceremonial,Official Website,https://www.itsmatchamagic.com/online-ordering/south-lake-union/menu,2026-08-28,False,Human-validated pilot menu record,Reviewed
ITM009,SEA001,Purple Rain,Matcha Latte,Ube,FALSE,TRUE,16oz,10.0,10.0,Horchata; 2%; Oat; Almond; Coconut; Soy,Ceremonial,Official Website,https://www.itsmatchamagic.com/online-ordering/south-lake-union/menu,2026-08-28,False,Human-validated pilot menu record,Reviewed
ITM010,SEA001,Matcha Magic Latte,Matcha Latte,Original,TRUE,TRUE,12oz;16oz,8.5,9.5,Horchata; 2%; Oat; Almond; Coconut; Soy,Ceremonial,Official Website,https://www.itsmatchamagic.com/online-ordering/south-lake-union/menu,2026-08-28,False,Human-validated pilot menu record,Reviewed
ITM011,SEA001,Blueberry Matcha,Matcha Latte,Blueberry,FALSE,TRUE,16oz,9.5,9.5,Horchata; 2%; Oat; Almond; Coconut; Soy,Ceremonial,Official Website,https://www.itsmatchamagic.com/online-ordering/south-lake-union/menu,2026-08-28,False,Human-validated pilot menu record,Reviewed
ITM012,SEA001,Black Sesame Matcha,Matcha Latte,Black Sesame,FALSE,TRUE,16oz,9.0,9.0,Horchata; 2%; Oat; Almond; Coconut; Soy,Ceremonial,Official Website,https://www.itsmatchamagic.com/online-ordering/south-lake-union/menu,2026-08-28,False,Human-validated pilot menu record,Reviewed
ITM013,SEA001,Caramel Maca-iato,Matcha Latte,Caramel,TRUE,TRUE,12oz;16oz,8.5,9.5,Horchata; 2%; Oat; Almond; Coconut; Soy,Ceremonial,Official Website,https://www.itsmatchamagic.com/online-ordering/south-lake-union/menu,2026-08-28,False,Human-validated pilot menu record,Reviewed
ITM014,SEA001,Coconut Matcha Latte,Matcha Latte,Coconut,FALSE,TRUE,16oz,8.5,8.5,Horchata; 2%; Oat; Almond; Coconut; Soy,Ceremonial,Official Website,https://www.itsmatchamagic.com/online-ordering/south-lake-union/menu,2026-08-28,False,Human-validated pilot menu record,Reviewed
ITM015,SEA001,Banana Matcha,Matcha Smoothie,Banana,FALSE,TRUE,16oz,12.0,12.0,Horchata; 2%; Oat; Almond; Coconut; Soy,Ceremonial,Official Website,https://www.itsmatchamagic.com/online-ordering/south-lake-union/menu,2026-08-28,False,Human-validated pilot menu record,Reviewed
ITM016,SEA002,Premium Uji Matcha Latte,Matcha Latte,Original,FALSE,TRUE,20oz,7.75,7.75,Whole; Oat,Uji,Official Website,https://themoobar.muncho.ai/post/detail?businessId=6330aa766d384e110d80979b&noBack=true&needShowSafariGuide=false,2026-08-28,False,Human-validated pilot menu record,Reviewed
ITM017,SEA002,Meiko Ceremonial Matcha Latte,Matcha Latte,Original,FALSE,TRUE,20oz,9.25,9.25,Whole; Oat,Ceremonial,Official Website,https://themoobar.muncho.ai/post/detail?businessId=6330aa766d384e110d80979b&noBack=true&needShowSafariGuide=false,2026-08-28,False,Human-validated pilot menu record,Reviewed
ITM018,SEA002,Earl Grey Matcha,Matcha Latte,Earl Grey,FALSE,TRUE,20oz,8.5,10.0,Whole; Oat,Uji; Ceremonial,Official Website,https://themoobar.muncho.ai/post/detail?businessId=6330aa766d384e110d80979b&noBack=true&needShowSafariGuide=false,2026-08-28,False,Human-validated pilot menu record,Reviewed
ITM019,SEA002,Cookie Butter Matcha Latte,Matcha Latte,Cookie Butter,FALSE,TRUE,20oz,9.0,10.5,Whole; Oat,Uji; Ceremonial,Official Website,https://themoobar.muncho.ai/post/detail?businessId=6330aa766d384e110d80979b&noBack=true&needShowSafariGuide=false,2026-08-28,False,Human-validated pilot menu record,Reviewed
ITM020,SEA002,Yuzu Matcha Latte,Matcha Latte,Yuzu Lemon,FALSE,TRUE,20oz,9.0,10.5,Whole; Oat,Uji; Ceremonial,Official Website,https://themoobar.muncho.ai/post/detail?businessId=6330aa766d384e110d80979b&noBack=true&needShowSafariGuide=false,2026-08-28,False,Human-validated pilot menu record,Reviewed
ITM021,SEA002,Pistachio Cream Matcha Latte,Matcha Latte,Pistachio,FALSE,TRUE,20oz,9.25,10.75,Whole; Oat,Uji; Ceremonial,Official Website,https://themoobar.muncho.ai/post/detail?businessId=6330aa766d384e110d80979b&noBack=true&needShowSafariGuide=false,2026-08-28,False,Human-validated pilot menu record,Reviewed
ITM022,SEA002,Mango Sticky Rice Matcha Latte,Matcha Latte,Mango,FALSE,TRUE,20oz,8.75,10.25,Whole,Uji; Ceremonial,Official Website,https://themoobar.muncho.ai/post/detail?businessId=6330aa766d384e110d80979b&noBack=true&needShowSafariGuide=false,2026-08-28,False,Human-validated pilot menu record,Reviewed
ITM023,SEA002,Mango Matcha Latte,Matcha Latte,Mango,FALSE,TRUE,20oz,8.0,9.5,Whole,Uji; Ceremonial,Official Website,https://themoobar.muncho.ai/post/detail?businessId=6330aa766d384e110d80979b&noBack=true&needShowSafariGuide=false,2026-08-28,False,Human-validated pilot menu record,Reviewed
ITM024,SEA002,Matcha Tiramisu Matcha Latte,Matcha Latte,Matcha Tiramisu,FALSE,TRUE,20oz,9.25,9.25,Whole,Uji; Ceremonial,Official Website,https://themoobar.muncho.ai/post/detail?businessId=6330aa766d384e110d80979b&noBack=true&needShowSafariGuide=false,2026-08-28,False,Human-validated pilot menu record,Reviewed
