place_id,shop_name,formatted_address,city_scope_check,primary_type,google_types,google_rating,google_review_count,website_url,google_maps_url,query_match_count,discovery_queries,verification_status,qualification_basis,rejection_reason,date_collected_utc
ChIJq8-wWk1rkFQRM6WEAOx7x2k,Matcha Magic Capitol Hill,"1530 11th Ave, Seattle, WA 98122",True,cafe,cafe; food; point_of_interest; establishment,4.8,448.0,https://www.itsmatchamagic.com/,https://maps.google.com/?cid=7622197147899045171&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,4,"Japanese tea cafe in Seattle, WA | matcha cafe in Seattle, WA | matcha in Seattle, WA | matcha latte in Seattle, WA",Qualified,Matcha item verified on menu,,2026-08-29T04:16:28+00:00
ChIJn_YYQXkVkFQRe1gVLs8eJyM,Taz Matcha,"1514 4th Ave, Seattle, WA 98101",True,cafe,cafe; food; point_of_interest; establishment,4.4,384.0,https://tazseattle.com/,https://maps.google.com/?cid=2533027190599407739&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,4,"Japanese tea cafe in Seattle, WA | matcha cafe in Seattle, WA | matcha in Seattle, WA | matcha latte in Seattle, WA",Qualified,Matcha item verified on menu,,2026-08-29T04:16:28+00:00
ChIJMesSl2YVkFQR9cjxPkeMS_g,Matcha Magic SLU,"500 Fairview Ave N, Seattle, WA 98109",True,cafe,cafe; food; point_of_interest; establishment,4.9,309.0,https://www.itsmatchamagic.com/,https://maps.google.com/?cid=17891548182286026997&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,4,"Japanese tea cafe in Seattle, WA | matcha cafe in Seattle, WA | matcha in Seattle, WA | matcha latte in Seattle, WA",Qualified,Matcha item verified on menu,,2026-08-29T04:16:28+00:00
ChIJgRGSPgAVkFQRbrop5Z87pSc,Mina’s Matcha,"5200 Roosevelt Way NE Ste A, Seattle, WA 98105",True,cafe,cafe; dessert_shop; coffee_shop; confectionery; food_store; food; store; point_of_interest; establishment,4.8,145.0,,https://maps.google.com/?cid=2856755096567003758&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,4,"Japanese tea cafe in Seattle, WA | matcha cafe in Seattle, WA | matcha in Seattle, WA | matcha latte in Seattle, WA",Qualified,Matcha item verified on menu,,2026-08-29T04:16:28+00:00
ChIJRQ55ea8VkFQRooTMPmyxckw,Grean Matcha,"4524 University Wy NE, Seattle, WA 98105",True,cafe,cafe; food; point_of_interest; establishment,4.7,121.0,http://drinkgrean.com/,https://maps.google.com/?cid=5508660372695712930&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,4,"Japanese tea cafe in Seattle, WA | matcha cafe in Seattle, WA | matcha in Seattle, WA | matcha latte in Seattle, WA",Qualified,Matcha item verified on menu,,2026-08-29T04:16:28+00:00
ChIJvX0IVpcVkFQRHg_Fmpiexvw,Nana’s Green Tea,"1007 Stewart St #103, Seattle, WA 98101",True,dessert_shop,japanese_curry_restaurant; tea_house; ice_cream_shop; dessert_shop; japanese_restaurant; confectionery; food_store; restaurant; food; store; point_of_interest; establishment,4.5,2023.0,http://www.nanasgreenteawa.com/,https://maps.google.com/?cid=18214420121215373086&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,3,"Japanese tea cafe in Seattle, WA | matcha cafe in Seattle, WA | matcha latte in Seattle, WA",Qualified,Matcha item verified on menu,,2026-08-29T04:16:28+00:00
ChIJ31EeKlhtkFQRT6p6o27OBD8,Matcha Magic Bellevue,"10246 Main St A, Bellevue, WA 98004",False,cafe,cafe; food; point_of_interest; establishment,4.6,562.0,http://www.itsmatchamagic.com/,https://maps.google.com/?cid=4540981298880752207&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,3,"Japanese tea cafe in Seattle, WA | matcha cafe in Seattle, WA | matcha latte in Seattle, WA",Needs menu verification,,,2026-08-29T04:16:28+00:00
ChIJrSeqgMVBkFQRnqiExQNhuY8,Matcha Man Ice Cream & Taiyaki,"6014 12th Ave S, Seattle, WA 98108",True,ice_cream_shop,ice_cream_shop; dessert_shop; cafe; confectionery; food_store; food; store; point_of_interest; establishment,4.5,485.0,,https://maps.google.com/?cid=10356415486941767838&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,3,"Japanese tea cafe in Seattle, WA | matcha cafe in Seattle, WA | matcha latte in Seattle, WA",Qualified,Matcha item verified on menu,,2026-08-29T04:16:28+00:00
ChIJdxfOMSYVkFQRT283uS_dls4,Chaco Coffee & Tea,"100 4th Ave N Ste 165, Seattle, WA 98109",True,coffee_shop,coffee_shop; tea_house; breakfast_restaurant; cafe; food_store; restaurant; food; store; point_of_interest; establishment,4.8,312.0,https://chacoffeeandtea.com/,https://maps.google.com/?cid=14886328815360372559&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,3,"Japanese tea cafe in Seattle, WA | matcha cafe in Seattle, WA | matcha latte in Seattle, WA",Qualified,Matcha item verified on menu,,2026-08-29T04:16:28+00:00
ChIJqTPr5FxrkFQRIgTFZDo3zfQ,Yoka Tea,"1101 34th Ave, Seattle, WA 98122",True,cafe,cafe; food; point_of_interest; establishment,4.8,256.0,,https://maps.google.com/?cid=17639816039418364962&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,3,"Japanese tea cafe in Seattle, WA | matcha cafe in Seattle, WA | matcha latte in Seattle, WA",Qualified,Matcha item verified on menu,,2026-08-29T04:16:28+00:00
ChIJnQvknrJrkFQRKsC9rvTlX1Y,Junbi Matcha & Tea - Seattle,"722 E Pike St Ste 110, Seattle, WA 98122",True,cafe,cafe; food; point_of_interest; establishment,4.4,108.0,https://junbishop.com/,https://maps.google.com/?cid=6223946049115766826&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,3,"Japanese tea cafe in Seattle, WA | matcha cafe in Seattle, WA | matcha latte in Seattle, WA",Qualified,Matcha item verified on menu,,2026-08-29T04:16:28+00:00
ChIJU6O0Y_1rkFQRw0BduR7xyBU,Lune Cafe,"107 1st Ave S, Seattle, WA 98104",True,cafe,cafe; food; point_of_interest; establishment,4.5,1332.0,https://lunesglow.com/,https://maps.google.com/?cid=1569769584399827139&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,2,"matcha cafe in Seattle, WA | matcha latte in Seattle, WA",Qualified,Matcha item verified on menu,,2026-08-29T04:16:28+00:00
ChIJWSGEUNBrkFQRj7sUhdYFnXE,Baiten,"510 E Pine St, Seattle, WA 98122",True,dessert_shop,dessert_shop; confectionery; food_store; store; food; point_of_interest; establishment,4.5,216.0,https://www.tamaribarseattle.com/baiten,https://maps.google.com/?cid=8186706116543298447&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,2,"Japanese tea cafe in Seattle, WA | matcha cafe in Seattle, WA",Qualified,Matcha item verified on menu,,2026-08-29T04:16:23+00:00
