shop_id,google_place_id,shop_name,city,neighborhood,address,shop_type,google_rating,google_review_count,website_url,google_maps_url,date_collected,menu_verification_status
SEA001,ChIJMesSl2YVkFQR9cjxPkeMS_g,Matcha Magic SLU,Seattle,South Lake Union,"500 Fairview Ave N, Seattle, WA 98109",Matcha / Tea Shop,4.9,309.0,https://www.itsmatchamagic.com/,https://maps.google.com/?cid=17891548182286026997&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,2026-08-29,Verified matcha on menu
SEA002,ChIJIVJTHkoVkFQRm7fzo8NxBcI,The Moo Bar,Seattle,Downtown,"2124 Westlake Ave N, Seattle, WA 98121",Boba / Bubble Tea Shop,4.1,1026.0,https://themoobar.com/,https://maps.app.goo.gl/DnYrDh5miHTKyFUU6,2026-08-28,Verified in pilot
SEA003,ChIJrUM8bgAVkFQRHdrY8ZLEQuY,Hey Tea,Seattle,South Lake Union,"910 John St, Seattle, WA 98109",Matcha / Tea Shop,4.0,677.0,https://www.heytea.com/,https://maps.app.goo.gl/HEprZQfDbf541f4f9,2026-08-28,Verified in pilot
SEA004,ChIJrSeqgMVBkFQRnqiExQNhuY8,Matcha Man Ice Cream & Taiyaki,Seattle,Georgetown,"6014 12th Ave S, Seattle, WA 98108",Bakery / Dessert Cafe,4.5,485.0,,https://maps.google.com/?cid=10356415486941767838&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,2026-08-29,Verified matcha on menu
SEA005,ChIJJylxcL9rkFQR5J62NetzofQ,Drip Drip coffeehouse,Seattle,First Hill,"355 15th Ave, Seattle, WA 98122",Cafe / Coffee Shop,4.5,345.0,https://www.dripdripcoffeehouse.com/,https://maps.app.goo.gl/TVQgEnwUEtWTXm9B9,2026-08-28,Verified in pilot
SEA006,ChIJq8-wWk1rkFQRM6WEAOx7x2k,Matcha Magic Capitol Hill,Seattle,Capitol Hill,"1530 11th Ave, Seattle, WA 98122",Matcha / Tea Shop,4.8,448.0,https://www.itsmatchamagic.com/,https://maps.google.com/?cid=7622197147899045171&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,2026-08-29,Verified matcha on menu
SEA007,ChIJn_YYQXkVkFQRe1gVLs8eJyM,Taz Matcha,Seattle,Downtown,"1514 4th Ave, Seattle, WA 98101",Matcha / Tea Shop,4.4,384.0,https://tazseattle.com/,https://maps.google.com/?cid=2533027190599407739&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,2026-08-29,Verified matcha on menu
SEA008,ChIJgRGSPgAVkFQRbrop5Z87pSc,Mina’s Matcha,Seattle,University District,"5200 Roosevelt Way NE Ste A, Seattle, WA 98105",Matcha / Tea Shop,4.8,145.0,,https://maps.google.com/?cid=2856755096567003758&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,2026-08-29,Verified matcha on menu
SEA009,ChIJRQ55ea8VkFQRooTMPmyxckw,Grean Matcha,Seattle,University District,"4524 University Wy NE, Seattle, WA 98105",Matcha / Tea Shop,4.7,121.0,http://drinkgrean.com/,https://maps.google.com/?cid=5508660372695712930&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,2026-08-29,Verified matcha on menu
SEA010,ChIJvX0IVpcVkFQRHg_Fmpiexvw,Nana’s Green Tea,Seattle,Denny Triangle,"1007 Stewart St #103, Seattle, WA 98101",Matcha / Tea Shop,4.5,2023.0,http://www.nanasgreenteawa.com/,https://maps.google.com/?cid=18214420121215373086&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,2026-08-29,Verified matcha on menu
SEA011,ChIJdxfOMSYVkFQRT283uS_dls4,Chaco Coffee & Tea,Seattle,Uptown,"100 4th Ave N Ste 165, Seattle, WA 98109",Cafe / Coffee Shop,4.8,312.0,https://chacoffeeandtea.com/,https://maps.google.com/?cid=14886328815360372559&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,2026-08-29,Verified matcha on menu
SEA012,ChIJqTPr5FxrkFQRIgTFZDo3zfQ,Yoka Tea,Seattle,Madrona,"1101 34th Ave, Seattle, WA 98122",Boba / Bubble Tea Shop,4.8,256.0,,https://maps.google.com/?cid=17639816039418364962&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,2026-08-29,Verified matcha on menu
