place_id,shop_name,qualification_basis
ChIJq8-wWk1rkFQRM6WEAOx7x2k,Matcha Magic Capitol Hill,Matcha item verified on menu
ChIJn_YYQXkVkFQRe1gVLs8eJyM,Taz Matcha,Matcha item verified on menu
ChIJMesSl2YVkFQR9cjxPkeMS_g,Matcha Magic SLU,Matcha item verified on menu
ChIJgRGSPgAVkFQRbrop5Z87pSc,Mina’s Matcha,Matcha item verified on menu
ChIJRQ55ea8VkFQRooTMPmyxckw,Grean Matcha,Matcha item verified on menu
ChIJvX0IVpcVkFQRHg_Fmpiexvw,Nana’s Green Tea,Matcha item verified on menu
ChIJrSeqgMVBkFQRnqiExQNhuY8,Matcha Man Ice Cream & Taiyaki,Matcha item verified on menu
ChIJdxfOMSYVkFQRT283uS_dls4,Chaco Coffee & Tea,Matcha item verified on menu
ChIJqTPr5FxrkFQRIgTFZDo3zfQ,Yoka Tea,Matcha item verified on menu
ChIJnQvknrJrkFQRKsC9rvTlX1Y,Junbi Matcha & Tea - Seattle,Matcha item verified on menu
ChIJU6O0Y_1rkFQRw0BduR7xyBU,Lune Cafe,Matcha item verified on menu
ChIJWSGEUNBrkFQRj7sUhdYFnXE,Baiten,Matcha item verified on menu
ChIJd1f3fGoVkFQRz0eZTCdX2zc,Vale Matcha & Coffee,Matcha item verified on menu
ChIJ0630IAAVkFQRO86TGVmF288,Elixir,Matcha item verified on menu
ChIJGy4McgBrkFQRdryDJRlK9dA,Jin Jin Matcha,Matcha item verified on menu
ChIJT5j7Y8YVkFQRCeKtQH6eJSI,Miro Tea,Matcha item verified on menu
ChIJPZxNkZ1rkFQREOhvtKhmGo4,Hello Em Việt Coffee & Roastery,Matcha item verified on menu
ChIJP3XOGWAUkFQRT_lH1mC1SfU,OH! Bear Cafe & TeaHouse,Matcha item verified on menu
ChIJOTVu5NFrkFQRvAtWzY-Iwtw,Atulea,Matcha item verified on menu
ChIJ9Yke7MJrkFQR7CJNNPFpfL4,Coche Valley Dessert Cafe,Matcha item verified on menu
ChIJ3d-iqVxrkFQRKNl7TtHwYK8,Yuu Tea Cafe,Matcha item verified on menu
ChIJvful7UFrkFQR0OhobFnU_fs,Aroom Coffee Waterfront,Matcha item verified on menu
ChIJ3dzzqxdrkFQR1xVyFgc9Vsg,KOTO JELLY COFFEE,Matcha item verified on menu
ChIJJ7opW15rkFQRpE4PHo9qP7A,CU URBAN MARKET & CAFE,Matcha item verified on menu
ChIJAb0KE0RrkFQRuI4X0By5Mcw,Howdy Y'all Coffee (Central Library),Matcha item verified on menu
