place_id,shop_name,formatted_address,primary_type,google_types,google_rating,google_review_count,website_url,google_maps_url,discovery_query,date_collected_utc,verification_status
ChIJMesSl2YVkFQR9cjxPkeMS_g,Matcha Magic SLU,"500 Fairview Ave N, Seattle, WA 98109",cafe,cafe; food; point_of_interest; establishment,4.9,309,https://www.itsmatchamagic.com/,https://maps.google.com/?cid=17891548182286026997&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"matcha cafe in Seattle, WA",2026-08-29T04:16:19+00:00,Needs menu verification
ChIJRQ55ea8VkFQRooTMPmyxckw,Grean Matcha,"4524 University Wy NE, Seattle, WA 98105",cafe,cafe; food; point_of_interest; establishment,4.7,121,http://drinkgrean.com/,https://maps.google.com/?cid=5508660372695712930&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"matcha cafe in Seattle, WA",2026-08-29T04:16:19+00:00,Needs menu verification
ChIJgRGSPgAVkFQRbrop5Z87pSc,Mina’s Matcha,"5200 Roosevelt Way NE Ste A, Seattle, WA 98105",cafe,cafe; coffee_shop; dessert_shop; confectionery; food_store; store; food; point_of_interest; establishment,4.8,145,,https://maps.google.com/?cid=2856755096567003758&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"matcha cafe in Seattle, WA",2026-08-29T04:16:19+00:00,Needs menu verification
ChIJq8-wWk1rkFQRM6WEAOx7x2k,Matcha Magic Capitol Hill,"1530 11th Ave, Seattle, WA 98122",cafe,cafe; food; point_of_interest; establishment,4.8,448,https://www.itsmatchamagic.com/,https://maps.google.com/?cid=7622197147899045171&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"matcha cafe in Seattle, WA",2026-08-29T04:16:19+00:00,Needs menu verification
ChIJn_YYQXkVkFQRe1gVLs8eJyM,Taz Matcha,"1514 4th Ave, Seattle, WA 98101",cafe,cafe; food; point_of_interest; establishment,4.4,384,https://tazseattle.com/,https://maps.google.com/?cid=2533027190599407739&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"matcha cafe in Seattle, WA",2026-08-29T04:16:19+00:00,Needs menu verification
ChIJd1f3fGoVkFQRz0eZTCdX2zc,Vale Matcha & Coffee,"2000 Terry Ave, Seattle, WA 98121",coffee_shop,coffee_shop; cafe; food_store; store; food; point_of_interest; establishment,4.3,196,https://www.valematcha.com/,https://maps.google.com/?cid=4024906518286125007&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"matcha cafe in Seattle, WA",2026-08-29T04:16:19+00:00,Needs menu verification
ChIJvX0IVpcVkFQRHg_Fmpiexvw,Nana’s Green Tea,"1007 Stewart St #103, Seattle, WA 98101",dessert_shop,ice_cream_shop; tea_house; dessert_shop; confectionery; food_store; japanese_curry_restaurant; japanese_restaurant; store; restaurant; food; point_of_interest; establishment,4.5,2023,http://www.nanasgreenteawa.com/,https://maps.google.com/?cid=18214420121215373086&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"matcha cafe in Seattle, WA",2026-08-29T04:16:19+00:00,Needs menu verification
ChIJ31EeKlhtkFQRT6p6o27OBD8,Matcha Magic Bellevue,"10246 Main St A, Bellevue, WA 98004",cafe,cafe; food; point_of_interest; establishment,4.6,562,http://www.itsmatchamagic.com/,https://maps.google.com/?cid=4540981298880752207&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"matcha cafe in Seattle, WA",2026-08-29T04:16:19+00:00,Needs menu verification
ChIJGy4McgBrkFQRdryDJRlK9dA,Jin Jin Matcha,"1325 4th Ave #1230, Seattle, WA 98101",coffee_shop,coffee_shop; cafe; food_store; store; food; point_of_interest; establishment,4.5,59,,https://maps.google.com/?cid=15057022401047149686&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"matcha cafe in Seattle, WA",2026-08-29T04:16:19+00:00,Needs menu verification
ChIJnQvknrJrkFQRKsC9rvTlX1Y,Junbi Matcha & Tea - Seattle,"722 E Pike St Ste 110, Seattle, WA 98122",cafe,cafe; food; point_of_interest; establishment,4.4,108,https://junbishop.com/,https://maps.google.com/?cid=6223946049115766826&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"matcha cafe in Seattle, WA",2026-08-29T04:16:19+00:00,Needs menu verification
