item_id,shop_id,drink_name,drink_category,flavor,available_hot,available_iced,size,min_price,max_price,milk_options,matcha_grade_claim,menu_source,menu_url,date_collected
ITM001,SEA001,Ceremonial,Matcha,Original,TRUE,TRUE,12oz;16oz,$7.00,$8.00,,Ceremonial,Official Website,https://www.itsmatchamagic.com/online-ordering/south-lake-union/menu,2026-08-28
ITM002,SEA001,Matcha Latte,Matcha Latte,Original,TRUE,TRUE,12oz;16oz,$7.00,$8.00,Horchata; 2%; Oat; Almond; Coconut; Soy,Ceremonial,Official Website,https://www.itsmatchamagic.com/online-ordering/south-lake-union/menu,2026-08-28
ITM003,SEA001,Strawberry Matcha,Matcha Latte,Strawberry,FALSE,TRUE,16oz,$9.00,$9.00,Horchata; 2%; Oat; Almond; Coconut; Soy,Ceremonial,Official Website,https://www.itsmatchamagic.com/online-ordering/south-lake-union/menu,2026-08-28
ITM004,SEA001,Matcha Horchata,Matcha Latte,Horchata,TRUE,TRUE,12oz;16oz,$8.50,$9.50,Horchata,Ceremonial,Official Website,https://www.itsmatchamagic.com/online-ordering/south-lake-union/menu,2026-08-28
ITM005,SEA001,Banana Cream Matcha,Matcha Latte,Banana,FALSE,TRUE,16oz,$9.50,$9.50,Horchata; 2%; Oat; Almond; Coconut; Soy,Ceremonial,Official Website,https://www.itsmatchamagic.com/online-ordering/south-lake-union/menu,2026-08-28
ITM006,SEA001,Earl Grey Matcha,Matcha Latte,Earl Grey,FALSE,TRUE,16oz,$8.50,$8.50,Horchata; 2%; Oat; Almond; Coconut; Soy,Ceremonial,Official Website,https://www.itsmatchamagic.com/online-ordering/south-lake-union/menu,2026-08-28
ITM007,SEA001,Matcha Mallow,Matcha Latte,Marshmallow,TRUE,TRUE,12oz;16oz,$7.50,$8.50,Horchata; 2%; Oat; Almond; Coconut; Soy,Ceremonial,Official Website,https://www.itsmatchamagic.com/online-ordering/south-lake-union/menu,2026-08-28
ITM008,SEA001,Triple Matcha,Matcha Latte,Original,FALSE,TRUE,16oz,$9.50,$9.50,Horchata; 2%; Oat; Almond; Coconut; Soy,Ceremonial,Official Website,https://www.itsmatchamagic.com/online-ordering/south-lake-union/menu,2026-08-28
ITM009,SEA001,Purple Rain,Matcha Latte,Ube,FALSE,TRUE,16oz,$10.00,$10.00,Horchata; 2%; Oat; Almond; Coconut; Soy,Ceremonial,Official Website,https://www.itsmatchamagic.com/online-ordering/south-lake-union/menu,2026-08-28
ITM010,SEA001,Matcha Magic Latte,Matcha Latte,Original,TRUE,TRUE,12oz;16oz,$8.50,$9.50,Horchata; 2%; Oat; Almond; Coconut; Soy,Ceremonial,Official Website,https://www.itsmatchamagic.com/online-ordering/south-lake-union/menu,2026-08-28
ITM011,SEA001,Blueberry Matcha,Matcha Latte,Blueberry,FALSE,TRUE,16oz,$9.50,$9.50,Horchata; 2%; Oat; Almond; Coconut; Soy,Ceremonial,Official Website,https://www.itsmatchamagic.com/online-ordering/south-lake-union/menu,2026-08-28
ITM012,SEA001,Black Sesame Matcha,Matcha Latte,Black Sesame,FALSE,TRUE,16oz,$9.00,$9.00,Horchata; 2%; Oat; Almond; Coconut; Soy,Ceremonial,Official Website,https://www.itsmatchamagic.com/online-ordering/south-lake-union/menu,2026-08-28
ITM013,SEA001,Caramel Maca-iato,Matcha Latte,Caramel,TRUE,TRUE,12oz;16oz,$8.50,$9.50,Horchata; 2%; Oat; Almond; Coconut; Soy,Ceremonial,Official Website,https://www.itsmatchamagic.com/online-ordering/south-lake-union/menu,2026-08-28
ITM014,SEA001,Coconut Matcha Latte,Matcha Latte,Coconut,FALSE,TRUE,16oz,$8.50,$8.50,Horchata; 2%; Oat; Almond; Coconut; Soy,Ceremonial,Official Website,https://www.itsmatchamagic.com/online-ordering/south-lake-union/menu,2026-08-28
ITM015,SEA001,Banana Matcha,Matcha Smoothie,Banana,FALSE,TRUE,16oz,$12.00,$12.00,Horchata; 2%; Oat; Almond; Coconut; Soy,Ceremonial,Official Website,https://www.itsmatchamagic.com/online-ordering/south-lake-union/menu,2026-08-28
ITM016,SEA002,Premium Uji Matcha Latte,Matcha Latte,Original,FALSE,TRUE,20oz,$7.75,$7.75,Whole; Oat,Uji,Official Website,https://themoobar.muncho.ai/post/detail?businessId=6330aa766d384e110d80979b&noBack=true&needShowSafariGuide=false,2026-08-28
ITM017,SEA002,Meiko Ceremonial Matcha Latte,Matcha Latte,Original,FALSE,TRUE,20oz,$9.25,$9.25,Whole; Oat,Ceremonial,Official Website,https://themoobar.muncho.ai/post/detail?businessId=6330aa766d384e110d80979b&noBack=true&needShowSafariGuide=false,2026-08-28
ITM018,SEA002,Earl Grey Matcha,Matcha Latte,Earl Grey,FALSE,TRUE,20oz,$8.50,$10.00,Whole; Oat,Uji; Ceremonial,Official Website,https://themoobar.muncho.ai/post/detail?businessId=6330aa766d384e110d80979b&noBack=true&needShowSafariGuide=false,2026-08-28
ITM019,SEA002,Cookie Butter Matcha Latte,Matcha Latte,Cookie Butter,FALSE,TRUE,20oz,$9.00,$10.50,Whole; Oat,Uji; Ceremonial,Official Website,https://themoobar.muncho.ai/post/detail?businessId=6330aa766d384e110d80979b&noBack=true&needShowSafariGuide=false,2026-08-28
ITM020,SEA002,Yuzu Matcha Latte,Matcha Latte,Yuzu Lemon,FALSE,TRUE,20oz,$9.00,$10.50,Whole; Oat,Uji; Ceremonial,Official Website,https://themoobar.muncho.ai/post/detail?businessId=6330aa766d384e110d80979b&noBack=true&needShowSafariGuide=false,2026-08-28
ITM021,SEA002,Pistachio Cream Matcha Latte,Matcha Latte,Pistachio,FALSE,TRUE,20oz,$9.25,$10.75,Whole; Oat,Uji; Ceremonial,Official Website,https://themoobar.muncho.ai/post/detail?businessId=6330aa766d384e110d80979b&noBack=true&needShowSafariGuide=false,2026-08-28
ITM022,SEA002,Mango Sticky Rice Matcha Latte,Matcha Latte,Mango,FALSE,TRUE,20oz,$8.75,$10.25,Whole,Uji; Ceremonial,Official Website,https://themoobar.muncho.ai/post/detail?businessId=6330aa766d384e110d80979b&noBack=true&needShowSafariGuide=false,2026-08-28
ITM023,SEA002,Mango Matcha Latte,Matcha Latte,Mango,FALSE,TRUE,20oz,$8.00,$9.50,Whole,Uji; Ceremonial,Official Website,https://themoobar.muncho.ai/post/detail?businessId=6330aa766d384e110d80979b&noBack=true&needShowSafariGuide=false,2026-08-28
ITM024,SEA002,Matcha Tiramisu Matcha Latte,Matcha Latte,Matcha Tiramisu,FALSE,TRUE,20oz,$9.25,$9.25,Whole,Uji; Ceremonial,Official Website,https://themoobar.muncho.ai/post/detail?businessId=6330aa766d384e110d80979b&noBack=true&needShowSafariGuide=false,2026-08-28
ITM025,SEA002,Strawberry Matcha,Matcha Latte,Strawberry,FALSE,TRUE,20oz,$8.00,$9.50,Whole,Uji; Ceremonial,Official Website,https://themoobar.muncho.ai/post/detail?businessId=6330aa766d384e110d80979b&noBack=true&needShowSafariGuide=false,2026-08-28
ITM026,SEA002,Banana Bread Matcha Latte,Matcha Latte,Banana,FALSE,TRUE,20oz,$8.25,$9.75,Whole; Oat,Uji; Ceremonial,Official Website,https://themoobar.muncho.ai/post/detail?businessId=6330aa766d384e110d80979b&noBack=true&needShowSafariGuide=false,2026-08-28
ITM027,SEA002,Matcha Brulee,Matcha Smoothie,Cream Brulee,FALSE,TRUE,20oz,$8.75,$8.75,,Uji,Official Website,https://themoobar.muncho.ai/post/detail?businessId=6330aa766d384e110d80979b&noBack=true&needShowSafariGuide=false,2026-08-28
ITM028,SEA002,Cloudy Oreo Matcha,Matcha Smoothie,Oreo,FALSE,TRUE,20oz,$8.25,$8.25,,Uji,Official Website,https://themoobar.muncho.ai/post/detail?businessId=6330aa766d384e110d80979b&noBack=true&needShowSafariGuide=false,2026-08-28
