item_id,shop_id,flavor
ITM001,SEA001,Original
ITM002,SEA001,Original
ITM003,SEA001,Strawberry
ITM004,SEA001,Horchata
ITM005,SEA001,Banana
ITM006,SEA001,Earl Grey
ITM007,SEA001,Marshmallow
ITM008,SEA001,Original
ITM009,SEA001,Ube
ITM010,SEA001,Original
ITM011,SEA001,Blueberry
ITM012,SEA001,Black Sesame
ITM013,SEA001,Caramel
ITM014,SEA001,Coconut
ITM015,SEA001,Banana
ITM016,SEA002,Original
ITM017,SEA002,Original
ITM018,SEA002,Earl Grey
ITM019,SEA002,Cookie Butter
ITM020,SEA002,Yuzu Lemon
ITM021,SEA002,Pistachio
ITM022,SEA002,Mango
ITM023,SEA002,Mango
ITM024,SEA002,Matcha Tiramisu
ITM025,SEA002,Strawberry
ITM026,SEA002,Banana
ITM027,SEA002,Cream Brulee
ITM028,SEA002,Oreo
ITM029,SEA003,Original
ITM030,SEA003,Coconut
ITM031,SEA003,Original
SEA004-AI-001,SEA004,Original
SEA004-AI-002,SEA004,Original
SEA004-AI-003,SEA004,Sakura
SEA004-AI-004,SEA004,Lavender
SEA004-AI-005,SEA004,Rose
SEA004-AI-006,SEA004,Chai
SEA004-AI-007,SEA004,Vanilla
SEA004-AI-008,SEA004,Strawberry
SEA004-AI-009,SEA004,Strawberry
SEA004-AI-010,SEA004,Strawberry
SEA004-AI-011,SEA004,Original
SEA004-AI-012,SEA004,Coconut
SEA004-AI-013,SEA004,Calamansi
SEA004-AI-014,SEA004,Carrot Cake
SEA004-AI-015,SEA004,Banana Bread
SEA005-AI-001,SEA005,Original
SEA005-AI-002,SEA005,Banana
SEA005-AI-003,SEA005,Strawberry
SEA005-AI-004,SEA005,Mango
SEA005-AI-005,SEA005,Original
SEA005-AI-006,SEA005,Original
SEA005-AI-007,SEA005,Creme Brulee
SEA005-AI-008,SEA005,Salted Egg Yolk
SEA005-AI-009,SEA005,Sesame
SEA005-AI-010,SEA005,Cherry Blossom
SEA005-AI-011,SEA005,Pandan
SEA005-AI-012,SEA005,Taro
SEA005-AI-012,SEA005,Ube
SEA005-AI-013,SEA005,Coconut
SEA006-AI-001,SEA006,Original
SEA006-AI-002,SEA006,Original
SEA006-AI-003,SEA006,Strawberry
SEA006-AI-004,SEA006,Horchata
SEA006-AI-005,SEA006,Banana
SEA006-AI-006,SEA006,Earl Grey
SEA006-AI-007,SEA006,Marshmallow
SEA006-AI-008,SEA006,Original
SEA006-AI-009,SEA006,Ube
SEA006-AI-010,SEA006,Original
SEA006-AI-011,SEA006,Blueberry
SEA006-AI-012,SEA006,Black Sesame
SEA006-AI-013,SEA006,Caramel
SEA006-AI-014,SEA006,Coconut
SEA006-AI-015,SEA006,Banana
ITM032,SEA007,Original
ITM033,SEA007,Original
ITM034,SEA007,Coffee
ITM035,SEA007,Earl Grey
ITM036,SEA007,Strawberry
SEA008-AI-001,SEA008,Original
SEA008-AI-002,SEA008,Original
SEA008-AI-003,SEA008,Vanilla
SEA008-AI-004,SEA008,Lavender
SEA008-AI-005,SEA008,Earl Grey
SEA008-AI-006,SEA008,Strawberry
SEA008-AI-007,SEA008,Ube
SEA008-AI-008,SEA008,Brown Sugar
SEA008-AI-009,SEA008,Banana Pudding
SEA008-AI-010,SEA008,Apple Lime
SEA009-AI-001,SEA009,Original
SEA009-AI-002,SEA009,Jasmine
SEA009-AI-003,SEA009,Strawberry
SEA009-AI-004,SEA009,Original
SEA009-AI-005,SEA009,Banana Bread
SEA009-AI-006,SEA009,Strawberry
SEA009-AI-006,SEA009,Jasmine
SEA010-AI-001,SEA010,Original
SEA010-AI-002,SEA010,Red Bean
SEA010-AI-003,SEA010,Original
SEA010-AI-004,SEA010,Original
SEA010-AI-005,SEA010,Brown Sugar
SEA010-AI-006,SEA010,Chocolate
SEA010-AI-007,SEA010,Vanilla
SEA010-AI-008,SEA010,Vanilla
SEA010-AI-008,SEA010,Chocolate
SEA010-AI-009,SEA010,Original
SEA010-AI-010,SEA010,Black Sesame
SEA010-AI-011,SEA010,Brown Sugar
SEA010-AI-012,SEA010,Vanilla
SEA010-AI-013,SEA010,Chocolate
SEA010-AI-014,SEA010,Original
SEA010-AI-015,SEA010,Original
SEA010-AI-016,SEA010,Original
SEA010-AI-017,SEA010,Vanilla
SEA010-AI-018,SEA010,Original
SEA010-AI-019,SEA010,Original
SEA010-AI-020,SEA010,Original
SEA010-AI-021,SEA010,Original
SEA010-AI-022,SEA010,Original
SEA010-AI-023,SEA010,Original
SEA010-AI-024,SEA010,Original
SEA010-AI-025,SEA010,Red Bean
SEA010-AI-026,SEA010,Chocolate
SEA010-AI-027,SEA010,Original
SEA010-AI-028,SEA010,Original
SEA010-AI-029,SEA010,Original
SEA010-AI-030,SEA010,Original
SEA010-AI-031,SEA010,Red Bean
ITM037,SEA011,Original
ITM038,SEA011,Jasmine
ITM039,SEA011,Strawberry
SEA012-AI-001,SEA012,Original
SEA012-AI-002,SEA012,Original
SEA012-AI-003,SEA012,Strawberry
SEA012-AI-004,SEA012,Original
SEA013-AI-001,SEA013,Original
SEA013-AI-002,SEA013,Espresso
SEA013-AI-003,SEA013,Guava
SEA013-AI-004,SEA013,Madagascar Vanilla
SEA013-AI-005,SEA013,Mango
SEA013-AI-006,SEA013,Strawberry
SEA013-AI-007,SEA013,Coffee
SEA013-AI-008,SEA013,Coffee
SEA013-AI-009,SEA013,Espresso
SEA013-AI-010,SEA013,Guava
SEA013-AI-011,SEA013,Mango
SEA013-AI-012,SEA013,Madagascar Vanilla
SEA013-AI-013,SEA013,Strawberry
SEA013-AI-014,SEA013,Yuzu
SEA013-AI-014,SEA013,Dragon Fruit
SEA013-AI-015,SEA013,Espresso
SEA013-AI-016,SEA013,Original
SEA013-AI-017,SEA013,Strawberry
SEA013-AI-018,SEA013,Original
SEA013-AI-019,SEA013,Vanilla
SEA013-AI-020,SEA013,Espresso
SEA013-AI-021,SEA013,Original
SEA013-AI-022,SEA013,Chocolate
SEA013-AI-022,SEA013,Hazelnut
SEA013-AI-023,SEA013,Chocolate
SEA013-AI-023,SEA013,Hazelnut
ITM040,SEA014,Original
ITM041,SEA014,Pistachio
ITM042,SEA014,Lavender
ITM043,SEA014,Caramel
ITM043,SEA014,Coconut
ITM044,SEA014,Cookie Butter
SEA015-AI-001,SEA015,Original
SEA015-AI-002,SEA015,Original
SEA015-AI-003,SEA015,Original
SEA015-AI-004,SEA015,Original
ITM045,SEA016,Original
ITM046,SEA016,Original
ITM047,SEA016,Original
ITM048,SEA016,Butter Pecan
ITM049,SEA016,Cherry Blossom
ITM050,SEA016,Banana
ITM051,SEA016,Maple
ITM052,SEA016,Strawberry
SEA017-AI-001,SEA017,Vanilla
SEA017-AI-002,SEA017,Strawberry
SEA017-AI-003,SEA017,Cardamom
SEA017-AI-003,SEA017,Rose
SEA017-AI-004,SEA017,Original
SEA017-AI-005,SEA017,Strawberry
ITM053,SEA018,Original
ITM054,SEA018,Original
ITM055,SEA018,Banana
ITM056,SEA018,Black Sesame
ITM057,SEA018,Blueberry
ITM058,SEA018,Vanilla
ITM059,SEA018,Original
ITM060,SEA018,Lavender
ITM061,SEA018,Original
ITM062,SEA018,Black Sesame
ITM063,SEA018,Pistachio
ITM064,SEA018,Strawberry
ITM065,SEA018,Vanilla
ITM066,SEA018,Original
ITM067,SEA019,Original
SEA019-AI-001,SEA019,Espresso
SEA019-AI-002,SEA019,Yuzu
SEA019-AI-003,SEA019,Original
SEA019-AI-004,SEA019,Ginger
SEA019-AI-005,SEA019,Original
SEA019-AI-006,SEA019,Original
SEA019-AI-007,SEA019,Original
SEA020-AI-001,SEA020,Pandan
SEA020-AI-002,SEA020,Original
SEA021-AI-001,SEA021,Original
SEA021-AI-002,SEA021,Red bean
SEA022-AI-001,SEA022,Original
SEA022-AI-002,SEA022,Original
SEA022-AI-003,SEA022,White Chocolate
SEA022-AI-004,SEA022,Turmeric
SEA022-AI-005,SEA022,Dark Chocolate
SEA022-AI-006,SEA022,Pineapple
SEA022-AI-007,SEA022,Espresso
SEA022-AI-008,SEA022,Butterfly Pea
SEA022-AI-009,SEA022,Ube
SEA022-AI-010,SEA022,Rose Lemonade
ITM068,SEA023,Banana
ITM069,SEA023,Original
SEA023-AI-001,SEA023,Original
SEA023-AI-002,SEA023,Strawberry
ITM070,SEA024,Original
ITM071,SEA024,Kumquat Lemon
ITM072,SEA024,Creme Brulee
ITM073,SEA024,Kiwi
SEA024-AI-001,SEA024,Coconut
SEA024-AI-002,SEA024,Mango
SEA024-AI-003,SEA024,Chocolate
SEA024-AI-004,SEA024,Tiramisu
SEA024-AI-005,SEA024,Espresso
ITM074,SEA025,Original
SEA025-AI-001,SEA025,Original
SEA025-AI-002,SEA025,Sesame
