shop_id,google_place_id,shop_name,city,neighborhood,address,shop_type,google_rating,google_review_count,website_url,google_maps_url,date_collected,menu_verification_status,menu_item_count,priced_item_count,avg_matcha_price,median_matcha_price,min_matcha_price,max_matcha_price,unique_flavor_count,unique_category_count,matcha_claim_item_count,flavored_item_count,hot_item_count,iced_item_count,price_coverage_pct,flavored_item_ratio,matcha_price_level,raw_text_status,human_review_status,has_complete_menu,matcha_score,matcha_score_rank
SEA001,ChIJMesSl2YVkFQR9cjxPkeMS_g,Matcha Magic SLU,Seattle,South Lake Union,"500 Fairview Ave N, Seattle, WA 98109",Matcha / Tea Shop,4.9,309.0,https://www.itsmatchamagic.com/,https://maps.google.com/?cid=17891548182286026997&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,2026-08-29,Verified matcha on menu,15,15,9.033333333333331,9.0,7.5,12.0,11,3,15,11,6,15,100.0,0.733,High,Full menu captured,Reviewed,True,63.6,2
SEA002,ChIJIVJTHkoVkFQRm7fzo8NxBcI,The Moo Bar,Seattle,Downtown,"2124 Westlake Ave N, Seattle, WA 98121",Boba / Bubble Tea Shop,4.1,1026.0,https://themoobar.com/,https://maps.app.goo.gl/DnYrDh5miHTKyFUU6,2026-08-28,Verified in pilot,13,13,9.076923076923077,9.25,7.75,10.0,11,2,13,11,0,13,100.0,0.846,High,Full menu captured,Reviewed,True,37.1,24
SEA003,ChIJrUM8bgAVkFQRHdrY8ZLEQuY,Hey Tea,Seattle,South Lake Union,"910 John St, Seattle, WA 98109",Matcha / Tea Shop,4.0,677.0,https://www.heytea.com/,https://maps.app.goo.gl/HEprZQfDbf541f4f9,2026-08-28,Verified in pilot,3,3,8.156666666666666,7.99,7.99,8.49,2,1,0,1,2,3,100.0,0.333,High,Full menu captured,Reviewed,True,22.6,27
SEA004,ChIJrSeqgMVBkFQRnqiExQNhuY8,Matcha Man Ice Cream & Taiyaki,Seattle,Georgetown,"6014 12th Ave S, Seattle, WA 98108",Bakery / Dessert Cafe,4.5,485.0,,https://maps.google.com/?cid=10356415486941767838&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,2026-08-29,Verified matcha on menu,15,15,7.733333333333333,7.75,5.5,9.0,11,3,15,12,7,15,100.0,0.8,Medium,Full menu captured,Reviewed,True,53.5,7
SEA005,ChIJJylxcL9rkFQR5J62NetzofQ,Drip Drip coffeehouse,Seattle,First Hill,"355 15th Ave, Seattle, WA 98122",Cafe / Coffee Shop,4.5,345.0,https://www.dripdripcoffeehouse.com/,https://maps.app.goo.gl/TVQgEnwUEtWTXm9B9,2026-08-28,Verified in pilot,13,13,8.057692307692308,8.25,6.5,8.5,11,2,0,10,12,13,100.0,0.769,Medium,Full menu captured,Reviewed,True,48.8,16
SEA006,ChIJq8-wWk1rkFQRM6WEAOx7x2k,Matcha Magic Capitol Hill,Seattle,Capitol Hill,"1530 11th Ave, Seattle, WA 98122",Matcha / Tea Shop,4.8,448.0,https://www.itsmatchamagic.com/,https://maps.google.com/?cid=7622197147899045171&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,2026-08-29,Verified matcha on menu,15,15,9.033333333333331,9.0,7.5,12.0,11,3,15,11,6,15,100.0,0.733,High,Full menu captured,Reviewed,True,61.8,3
SEA007,ChIJn_YYQXkVkFQRe1gVLs8eJyM,Taz Matcha,Seattle,Downtown,"1514 4th Ave, Seattle, WA 98101",Matcha / Tea Shop,4.4,384.0,https://tazseattle.com/,https://maps.google.com/?cid=2533027190599407739&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,2026-08-29,Verified matcha on menu,5,5,11.612,11.5,10.39,12.39,4,2,5,3,3,5,100.0,0.6,High,Full menu captured,Reviewed,True,29.2,26
SEA008,ChIJgRGSPgAVkFQRbrop5Z87pSc,Mina’s Matcha,Seattle,University District,"5200 Roosevelt Way NE Ste A, Seattle, WA 98105",Matcha / Tea Shop,4.8,145.0,,https://maps.google.com/?cid=2856755096567003758&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,2026-08-29,Verified matcha on menu,10,10,9.03,8.95,8.0,11.5,9,2,10,8,0,10,100.0,0.8,High,Full menu captured,Reviewed,True,50.2,13
SEA009,ChIJRQ55ea8VkFQRooTMPmyxckw,Grean Matcha,Seattle,University District,"4524 University Wy NE, Seattle, WA 98105",Matcha / Tea Shop,4.7,121.0,http://drinkgrean.com/,https://maps.google.com/?cid=5508660372695712930&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,2026-08-29,Verified matcha on menu,6,6,8.25,8.5,7.5,8.5,5,1,6,4,0,6,100.0,0.667,High,Full menu captured,Reviewed,True,42.9,19
SEA010,ChIJvX0IVpcVkFQRHg_Fmpiexvw,Nana’s Green Tea,Seattle,Denny Triangle,"1007 Stewart St #103, Seattle, WA 98101",Matcha / Tea Shop,4.5,2023.0,http://www.nanasgreenteawa.com/,https://maps.google.com/?cid=18214420121215373086&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,2026-08-29,Verified matcha on menu,31,31,8.13983870967742,7.5,5.0,15.5,7,5,0,13,7,18,100.0,0.419,Medium,Full menu captured,Reviewed,True,77.2,1
