shop_id,shop_name,neighborhood,google_rating,google_review_count,menu_item_count,avg_matcha_price,matcha_score
SEA010,Nana’s Green Tea,Denny Triangle,4.5,2023.0,31,8.14,77.2
SEA001,Matcha Magic SLU,South Lake Union,4.9,309.0,15,9.03,63.6
SEA006,Matcha Magic Capitol Hill,Capitol Hill,4.8,448.0,15,9.03,61.8
SEA019,Miro Tea,Ballard,4.7,976.0,8,7.5,58.5
SEA024,Yuu Tea Cafe,Columbia City,4.8,275.0,9,7.86,55.4
SEA027,CU URBAN MARKET & CAFE,Downtown,4.8,207.0,7,6.93,53.9
SEA022,Atulea,Capitol Hill,4.5,398.0,10,4.92,53.5
SEA004,Matcha Man Ice Cream & Taiyaki,Georgetown,4.5,485.0,15,7.73,53.5
SEA012,Yoka Tea,Madrona,4.8,256.0,4,6.47,53.0
SEA014,Lune Cafe,Pioneer Square,4.5,1332.0,5,6.3,52.1
